created_at,entry_id,TEMPERATURE (°C),HUMIDITE (%),Fumee (raw),Methane_Gaz_naturel (raw),Monoxyde_de_carbone (raw),Qualite_air (raw),Gas_Type
2025-10-06 10:36:45 UTC,475,29.8,56.8,401.0,0.0,357.0,316.0,Air Pur
2025-10-10 06:03:27 UTC,1083,33.3,60.3,420.0,0.0,370.0,302.0,Air Pur
2025-11-20 15:36:33 UTC,2559,36.0,34.42,401.0,0.0,369.0,311.0,Air Pur
2025-11-20 12:33:26 UTC,2048,31.61,50.48,408.0,0.0,380.0,316.0,Air Pur
2025-11-20 16:44:27 UTC,2748,36.0,30.0,399.0,0.0,378.0,303.0,Air Pur
2025-10-09 08:44:32 UTC,976,30.6,69.7,394.0,0.0,364.0,312.0,Air Pur
2025-11-20 11:06:42 UTC,1807,28.5,67.78,404.0,0.0,367.0,307.0,Air Pur
2025-10-06 07:44:24 UTC,190,29.1,61.1,408.0,0.0,367.0,313.0,Air Pur
2025-11-20 16:39:42 UTC,2735,36.0,30.85,404.0,0.0,369.0,312.0,Air Pur
2025-11-20 18:16:31 UTC,3006,36.0,30.0,408.0,0.0,370.0,317.0,Air Pur
2025-11-20 11:40:14 UTC,1900,29.42,52.56,404.0,0.0,385.0,314.0,Air Pur
2025-11-19 03:44:42 UTC,1268,32.5,60.8,405.0,0.0,378.0,312.0,Air Pur
2025-11-20 09:27:23 UTC,1529,25.65,67.47,395.0,0.0,365.0,309.0,Air Pur
2025-11-20 19:26:31 UTC,3203,35.26,30.0,392.0,0.0,372.0,308.0,Air Pur
2025-11-20 21:33:24 UTC,3557,32.19,37.44,402.0,0.0,368.0,312.0,Air Pur
2025-11-20 23:33:06 UTC,3891,27.74,64.24,404.0,0.0,365.0,316.0,Air Pur
2025-10-09 07:08:20 UTC,647,30.7,71.1,413.0,0.0,372.0,307.0,Air Pur
2025-11-20 17:35:03 UTC,2889,36.0,30.94,395.0,0.0,367.0,308.0,Air Pur
2025-11-20 14:52:34 UTC,2436,35.41,30.0,392.0,0.0,370.0,311.0,Air Pur
2025-10-09 06:54:30 UTC,601,30.8,71.6,402.0,0.0,378.0,311.0,Air Pur
2025-11-20 14:26:40 UTC,2364,35.27,31.89,391.0,0.0,366.0,317.0,Air Pur
2025-11-20 12:38:21 UTC,2062,31.57,50.44,405.0,0.0,373.0,308.0,Air Pur
2025-10-06 08:02:30 UTC,242,29.4,59.5,406.0,0.0,377.0,308.0,Air Pur
2025-11-20 12:31:27 UTC,2042,32.07,45.53,400.0,0.0,385.0,308.0,Air Pur
2025-11-20 17:11:45 UTC,2825,36.0,32.06,386.0,0.0,380.0,319.0,Air Pur
2025-11-20 15:55:42 UTC,2613,36.0,30.0,396.0,0.0,368.0,305.0,Air Pur
2025-11-20 04:27:16 UTC,1364,28.0,76.0,401.0,0.0,378.0,309.0,Air Pur
2025-11-20 09:08:59 UTC,1479,24.68,77.15,407.0,0.0,373.0,315.0,Air Pur
2025-11-20 15:35:50 UTC,2557,36.0,30.0,396.0,0.0,366.0,301.0,Air Pur
2025-10-09 07:43:36 UTC,776,30.9,70.5,395.0,0.0,378.0,306.0,Air Pur
2025-11-21 00:18:13 UTC,4015,26.63,63.78,394.0,0.0,374.0,314.0,Air Pur
2025-10-06 06:50:37 UTC,35,28.3,65.3,406.0,0.0,360.0,327.0,Air Pur
2025-11-20 19:08:49 UTC,3153,35.44,36.04,390.0,0.0,370.0,311.0,Air Pur
2025-11-20 12:00:32 UTC,1956,31.14,49.12,391.0,0.0,366.0,312.0,Air Pur
2025-11-20 09:47:47 UTC,1586,26.1,69.69,395.0,0.0,376.0,311.0,Air Pur
2025-11-20 23:52:35 UTC,3944,27.57,64.06,389.0,0.0,358.0,316.0,Air Pur
2025-11-20 18:40:22 UTC,3074,36.0,30.0,388.0,0.0,372.0,315.0,Air Pur
2025-10-10 05:05:31 UTC,1022,33.2,64.3,392.0,0.0,376.0,302.0,Air Pur
2025-11-20 20:59:49 UTC,3462,33.0,39.25,402.0,0.0,369.0,311.0,Air Pur
2025-11-20 15:56:04 UTC,2614,36.0,30.66,391.0,0.0,362.0,322.0,Air Pur
2025-11-20 23:15:58 UTC,3844,29.08,52.55,410.0,0.0,375.0,318.0,Air Pur
2025-11-20 09:17:15 UTC,1501,25.84,68.59,407.0,0.0,366.0,312.0,Air Pur
2025-10-06 07:34:39 UTC,162,28.9,61.4,388.0,0.0,368.0,319.0,Air Pur
2025-11-21 01:59:27 UTC,4298,24.4,82.35,395.0,0.0,377.0,313.0,Air Pur
2025-11-20 12:09:48 UTC,1982,30.13,49.5,389.0,0.0,360.0,318.0,Air Pur
2025-10-10 04:55:18 UTC,996,31.6,68.1,404.0,0.0,370.0,310.0,Air Pur
2025-11-20 20:16:47 UTC,3343,34.09,45.85,402.0,0.0,376.0,321.0,Air Pur
2025-11-21 03:30:10 UTC,4552,22.17,85.52,412.0,0.0,372.0,311.0,Air Pur
2025-11-20 23:00:02 UTC,3799,29.42,59.33,401.0,0.0,373.0,315.0,Air Pur
2025-11-19 03:47:09 UTC,1276,32.8,60.1,410.0,0.0,386.0,311.0,Air Pur
2025-10-10 05:03:07 UTC,1017,33.3,63.8,417.0,0.0,378.0,311.0,Air Pur
2025-10-06 08:35:50 UTC,338,29.4,60.2,412.0,0.0,382.0,309.0,Air Pur
2025-10-09 08:13:10 UTC,879,30.7,70.5,414.0,0.0,378.0,326.0,Air Pur
2025-10-10 05:59:36 UTC,1077,33.9,62.3,397.0,0.0,366.0,300.0,Air Pur
2025-11-21 00:10:56 UTC,3994,27.61,71.74,405.0,0.0,372.0,309.0,Air Pur
2025-10-06 08:57:30 UTC,380,29.9,58.4,399.0,0.0,359.0,319.0,Air Pur
2025-10-07 07:41:59 UTC,493,31.7,59.9,396.0,0.0,394.0,311.0,Air Pur
2025-11-20 12:38:45 UTC,2063,32.35,44.45,394.0,0.0,366.0,304.0,Air Pur
2025-11-20 23:31:03 UTC,3885,28.26,60.99,404.0,0.0,366.0,319.0,Air Pur
2025-10-06 07:01:02 UTC,65,28.5,62.8,398.0,0.0,380.0,317.0,Air Pur
2025-11-20 15:40:12 UTC,2569,36.0,30.0,400.0,0.0,382.0,318.0,Air Pur
2025-11-20 12:26:25 UTC,2028,31.68,54.56,424.0,0.0,366.0,312.0,Air Pur
2025-11-20 16:25:47 UTC,2696,36.0,30.0,413.0,0.0,357.0,320.0,Air Pur
2025-11-20 09:15:21 UTC,1496,24.72,76.34,404.0,0.0,362.0,304.0,Air Pur
2025-10-06 09:01:44 UTC,392,30.0,58.0,395.0,0.0,351.0,309.0,Air Pur
2025-11-21 03:17:15 UTC,4515,22.75,90.0,405.0,0.0,365.0,320.0,Air Pur
2025-11-21 03:02:44 UTC,4475,23.33,80.78,413.0,0.0,379.0,313.0,Air Pur
2025-11-20 21:35:06 UTC,3562,32.2,44.04,381.0,0.0,363.0,311.0,Air Pur
2025-11-20 13:56:04 UTC,2279,35.07,43.03,393.0,0.0,368.0,322.0,Air Pur
2025-11-20 18:49:46 UTC,3100,35.97,30.0,387.0,0.0,383.0,317.0,Air Pur
2025-10-06 07:48:13 UTC,201,29.2,59.9,402.0,0.0,363.0,307.0,Air Pur
2025-11-20 18:51:36 UTC,3105,36.0,32.29,387.0,0.0,383.0,321.0,Air Pur
2025-11-20 14:59:24 UTC,2455,36.0,30.0,389.0,0.0,365.0,315.0,Air Pur
2025-11-20 22:05:33 UTC,3646,31.21,47.19,398.0,0.0,354.0,308.0,Air Pur
2025-10-09 07:51:55 UTC,805,30.6,70.3,416.0,0.0,364.0,311.0,Air Pur
2025-11-20 16:38:30 UTC,2732,36.0,31.13,391.0,0.0,374.0,313.0,Air Pur
2025-11-20 16:53:52 UTC,2774,36.0,30.0,394.0,0.0,359.0,320.0,Air Pur
2025-11-20 09:42:15 UTC,1571,25.75,76.41,387.0,0.0,373.0,299.0,Air Pur
2025-11-20 16:24:06 UTC,2691,36.0,30.0,406.0,0.0,377.0,319.0,Air Pur
2025-11-20 23:14:58 UTC,3841,28.87,58.48,399.0,0.0,382.0,326.0,Air Pur
2025-10-10 05:07:47 UTC,1029,32.8,64.9,397.0,0.0,365.0,313.0,Air Pur
2025-10-07 07:50:38 UTC,503,30.9,65.1,396.0,0.0,364.0,309.0,Air Pur
2025-11-21 03:09:40 UTC,4494,23.17,81.08,414.0,0.0,375.0,309.0,Air Pur
2025-10-09 08:10:36 UTC,871,30.7,70.2,380.0,0.0,357.0,315.0,Air Pur
2025-11-21 03:07:50 UTC,4489,23.14,79.88,383.0,0.0,371.0,306.0,Air Pur
2025-10-06 07:50:19 UTC,207,29.2,59.8,401.0,0.0,370.0,313.0,Air Pur
2025-11-20 09:11:18 UTC,1485,25.25,74.97,397.0,0.0,366.0,308.0,Air Pur
2025-10-09 08:08:12 UTC,864,30.7,70.0,404.0,0.0,375.0,305.0,Air Pur
2025-11-20 16:59:50 UTC,2791,36.0,34.79,400.0,0.0,371.0,313.0,Air Pur
2025-10-08 05:53:05 UTC,564,29.3,63.7,401.0,0.0,366.0,314.0,Air Pur
2025-11-21 01:21:22 UTC,4192,25.58,76.46,405.0,0.0,370.0,315.0,Air Pur
2025-11-20 10:49:42 UTC,1758,28.04,60.63,408.0,0.0,354.0,318.0,Air Pur
2025-11-20 10:21:11 UTC,1679,27.45,60.3,403.0,0.0,360.0,317.0,Air Pur
2025-11-20 19:40:53 UTC,3243,35.71,30.19,397.0,0.0,367.0,309.0,Air Pur
2025-10-10 05:18:54 UTC,1060,31.7,70.0,402.0,0.0,363.0,317.0,Air Pur
2025-11-20 10:37:06 UTC,1723,28.19,58.6,399.0,0.0,366.0,317.0,Air Pur
2025-11-20 20:06:42 UTC,3315,34.41,34.45,397.0,0.0,377.0,318.0,Air Pur
2025-11-20 19:10:32 UTC,3158,36.0,35.25,389.0,0.0,378.0,303.0,Air Pur
2025-11-20 16:00:25 UTC,2626,36.0,33.07,409.0,0.0,385.0,317.0,Air Pur
2025-11-20 16:37:47 UTC,2730,36.0,30.0,383.0,0.0,378.0,325.0,Air Pur
2025-11-20 09:52:03 UTC,1598,25.74,68.89,398.0,0.0,369.0,305.0,Air Pur
2025-11-20 18:35:51 UTC,3061,35.94,30.0,402.0,0.0,379.0,316.0,Air Pur
2025-11-20 16:25:03 UTC,2694,36.0,31.4,425.0,0.0,369.0,302.0,Air Pur
2025-11-20 21:58:57 UTC,3628,32.32,44.96,401.0,0.0,350.0,309.0,Air Pur
2025-11-20 04:27:16 UTC,1364,28.0,76.0,413.0,0.0,372.0,313.0,Air Pur
2025-11-20 12:09:48 UTC,1982,30.13,49.5,415.0,0.0,367.0,320.0,Air Pur
2025-11-20 10:15:48 UTC,1664,26.95,64.04,401.0,0.0,372.0,305.0,Air Pur
2025-11-20 09:27:43 UTC,1530,25.63,75.02,396.0,0.0,358.0,311.0,Air Pur
2025-11-20 12:30:21 UTC,2039,31.28,53.0,403.0,0.0,360.0,324.0,Air Pur
2025-11-20 20:02:25 UTC,3303,34.87,38.87,402.0,0.0,369.0,317.0,Air Pur
2025-11-20 13:40:51 UTC,2238,34.1,33.85,393.0,0.0,370.0,308.0,Air Pur
2025-11-19 03:57:11 UTC,1307,32.0,61.8,412.0,0.0,361.0,312.0,Air Pur
2025-11-21 00:23:33 UTC,4030,26.33,65.89,403.0,0.0,372.0,309.0,Air Pur
2025-11-20 16:18:39 UTC,2676,36.0,30.0,393.0,0.0,364.0,315.0,Air Pur
2025-11-19 03:49:23 UTC,1283,32.4,61.1,399.0,0.0,375.0,315.0,Air Pur
2025-10-09 07:25:38 UTC,710,30.5,72.2,382.0,0.0,371.0,326.0,Air Pur
2025-11-21 02:41:00 UTC,4414,23.68,75.37,411.0,0.0,372.0,306.0,Air Pur
2025-11-20 22:42:27 UTC,3749,30.1,53.08,404.0,0.0,375.0,310.0,Air Pur
2025-10-09 07:13:10 UTC,664,30.8,70.4,403.0,0.0,381.0,307.0,Air Pur
2025-11-20 12:15:57 UTC,1999,31.75,43.18,392.0,0.0,375.0,315.0,Air Pur
2025-11-20 20:53:53 UTC,3446,33.91,32.1,408.0,0.0,374.0,309.0,Air Pur
2025-11-20 22:40:34 UTC,3744,29.5,59.46,403.0,0.0,360.0,310.0,Air Pur
2025-11-20 09:15:21 UTC,1496,24.72,76.34,404.0,0.0,366.0,327.0,Air Pur
2025-11-20 20:03:09 UTC,3305,35.04,32.18,385.0,0.0,365.0,306.0,Air Pur
2025-11-20 22:47:32 UTC,3764,29.84,49.82,394.0,0.0,364.0,304.0,Air Pur
2025-11-20 11:23:45 UTC,1854,29.12,65.9,406.0,0.0,365.0,313.0,Air Pur
2025-11-19 03:52:18 UTC,1292,32.2,61.7,397.0,0.0,363.0,322.0,Air Pur
2025-11-20 21:42:03 UTC,3582,32.86,40.96,407.0,0.0,354.0,300.0,Air Pur
2025-11-20 20:58:20 UTC,3458,32.3,45.04,408.0,0.0,365.0,302.0,Air Pur
2025-11-20 10:06:10 UTC,1637,26.96,67.36,408.0,0.0,370.0,314.0,Air Pur
2025-11-20 22:23:37 UTC,3697,30.57,52.28,406.0,0.0,359.0,302.0,Air Pur
2025-11-20 18:14:25 UTC,3000,36.0,30.35,413.0,0.0,358.0,305.0,Air Pur
2025-11-20 19:08:49 UTC,3153,35.44,36.04,392.0,0.0,386.0,315.0,Air Pur
2025-10-09 07:22:39 UTC,699,30.5,71.9,408.0,0.0,371.0,308.0,Air Pur
2025-11-20 13:13:21 UTC,2161,33.83,35.83,405.0,0.0,357.0,305.0,Air Pur
2025-11-21 00:47:52 UTC,4098,26.57,66.2,406.0,0.0,358.0,311.0,Air Pur
2025-10-09 08:05:46 UTC,855,30.6,70.4,399.0,0.0,365.0,300.0,Air Pur
2025-11-20 21:04:22 UTC,3475,33.69,38.31,395.0,0.0,362.0,313.0,Air Pur
2025-11-20 10:31:36 UTC,1708,27.22,67.99,401.0,0.0,372.0,308.0,Air Pur
2025-11-20 16:55:18 UTC,2778,36.0,33.24,404.0,0.0,357.0,301.0,Air Pur
2025-11-20 10:40:56 UTC,1734,28.07,55.08,381.0,0.0,365.0,307.0,Air Pur
2025-11-20 21:16:54 UTC,3511,32.04,44.07,406.0,0.0,364.0,314.0,Air Pur
2025-10-06 07:48:54 UTC,203,29.2,59.8,407.0,0.0,364.0,314.0,Air Pur
2025-11-20 19:45:24 UTC,3256,34.25,38.71,408.0,0.0,359.0,312.0,Air Pur
2025-11-21 01:30:59 UTC,4219,24.97,76.04,395.0,0.0,360.0,303.0,Air Pur
2025-11-21 03:10:48 UTC,4497,22.91,86.21,390.0,0.0,369.0,302.0,Air Pur
2025-10-09 07:41:08 UTC,767,30.9,70.7,396.0,0.0,376.0,315.0,Air Pur
2025-11-21 02:32:30 UTC,4390,22.95,82.2,396.0,0.0,383.0,323.0,Air Pur
2025-11-20 14:13:34 UTC,2328,35.89,30.37,400.0,0.0,349.0,317.0,Air Pur
2025-11-20 17:50:29 UTC,2932,36.0,30.0,382.0,0.0,381.0,319.0,Air Pur
2025-10-06 07:47:10 UTC,198,29.1,60.3,414.0,0.0,371.0,310.0,Air Pur
2025-11-20 11:51:30 UTC,1931,30.82,49.36,396.0,0.0,365.0,318.0,Air Pur
2025-11-20 21:42:28 UTC,3583,31.83,47.94,406.0,0.0,370.0,308.0,Air Pur
2025-10-09 06:57:06 UTC,609,30.8,70.7,421.0,0.0,376.0,302.0,Air Pur
2025-11-20 19:51:28 UTC,3273,35.4,34.36,396.0,0.0,376.0,307.0,Air Pur
2025-10-11 06:39:10 UTC,1148,32.3,65.6,403.0,0.0,377.0,292.0,Air Pur
2025-11-21 01:54:12 UTC,4283,24.5,76.8,399.0,0.0,368.0,310.0,Air Pur
2025-11-20 20:36:27 UTC,3398,33.88,31.91,402.0,0.0,374.0,313.0,Air Pur
2025-11-20 15:19:49 UTC,2512,36.0,30.0,397.0,0.0,374.0,312.0,Air Pur
2025-11-20 11:02:27 UTC,1795,28.44,57.03,398.0,0.0,359.0,303.0,Air Pur
2025-10-09 07:12:05 UTC,660,30.9,70.2,389.0,0.0,371.0,312.0,Air Pur
2025-11-20 17:07:16 UTC,2812,36.0,33.44,388.0,0.0,374.0,320.0,Air Pur
2025-11-20 04:29:16 UTC,1370,28.9,71.8,395.0,0.0,355.0,308.0,Air Pur
2025-11-20 12:11:41 UTC,1987,30.83,46.9,407.0,0.0,373.0,306.0,Air Pur
2025-10-06 07:29:27 UTC,147,29.0,60.6,412.0,0.0,380.0,308.0,Air Pur
2025-11-20 19:32:30 UTC,3220,35.91,30.0,394.0,0.0,364.0,309.0,Air Pur
2025-11-20 17:43:18 UTC,2912,36.0,31.65,408.0,0.0,372.0,317.0,Air Pur
2025-11-20 10:41:14 UTC,1735,28.02,68.09,405.0,0.0,383.0,306.0,Air Pur
2025-11-20 11:20:08 UTC,1844,30.26,50.52,403.0,0.0,352.0,304.0,Air Pur
2025-10-06 10:42:13 UTC,489,29.9,58.7,399.0,0.0,372.0,311.0,Air Pur
2025-11-20 18:05:59 UTC,2977,36.0,30.0,395.0,0.0,366.0,320.0,Air Pur
2025-11-20 12:02:01 UTC,1960,29.73,60.29,397.0,0.0,383.0,317.0,Air Pur
2025-11-20 14:34:33 UTC,2386,35.81,32.28,404.0,0.0,359.0,318.0,Air Pur
2025-11-20 17:46:11 UTC,2920,36.0,30.0,396.0,0.0,359.0,315.0,Air Pur
2025-11-20 11:05:14 UTC,1803,28.67,58.78,389.0,0.0,363.0,312.0,Air Pur
2025-11-21 00:34:53 UTC,4062,26.19,73.33,418.0,0.0,364.0,309.0,Air Pur
2025-11-20 20:26:31 UTC,3370,34.42,30.0,406.0,0.0,359.0,315.0,Air Pur
2025-10-06 08:09:45 UTC,263,29.4,59.6,410.0,0.0,367.0,318.0,Air Pur
2025-10-09 07:01:36 UTC,624,31.0,70.0,402.0,0.0,363.0,311.0,Air Pur
2025-10-10 05:03:07 UTC,1017,33.3,63.8,397.0,0.0,368.0,313.0,Air Pur
2025-11-20 22:04:46 UTC,3644,30.77,55.26,405.0,0.0,373.0,297.0,Air Pur
2025-11-20 12:34:03 UTC,2050,31.23,46.03,399.0,0.0,357.0,310.0,Air Pur
2025-11-20 22:33:26 UTC,3724,30.73,52.33,399.0,0.0,377.0,312.0,Air Pur
2025-11-21 03:29:06 UTC,4549,22.37,80.93,402.0,0.0,375.0,319.0,Air Pur
2025-11-20 18:53:07 UTC,3109,36.0,30.0,399.0,0.0,370.0,312.0,Air Pur
2025-11-21 00:45:27 UTC,4091,26.89,70.49,396.0,0.0,363.0,298.0,Air Pur
2025-11-20 12:36:34 UTC,2057,32.1,47.86,391.0,0.0,355.0,320.0,Air Pur
2025-11-20 19:14:58 UTC,3171,35.93,30.0,402.0,0.0,368.0,308.0,Air Pur
2025-11-20 10:22:44 UTC,1683,27.93,60.49,400.0,0.0,362.0,313.0,Air Pur
2025-11-20 13:47:20 UTC,2256,34.22,42.22,402.0,0.0,362.0,307.0,Air Pur
2025-10-11 06:41:16 UTC,1155,32.2,65.9,408.0,0.0,369.0,307.0,Air Pur
2025-11-21 03:11:49 UTC,4500,22.5,84.99,397.0,0.0,361.0,312.0,Air Pur
2025-11-20 19:22:33 UTC,3192,35.21,39.26,407.0,0.0,369.0,326.0,Air Pur
2025-11-20 10:27:48 UTC,1697,27.23,67.23,403.0,0.0,371.0,307.0,Air Pur
2025-11-21 00:10:13 UTC,3992,26.43,72.58,398.0,0.0,363.0,299.0,Air Pur
2025-11-20 10:10:28 UTC,1649,26.81,73.06,408.0,0.0,365.0,307.0,Air Pur
2025-11-20 08:57:08 UTC,1446,24.66,67.3,402.0,0.0,373.0,310.0,Air Pur
2025-11-21 01:24:17 UTC,4200,25.02,75.93,400.0,0.0,375.0,310.0,Air Pur
2025-11-20 23:45:12 UTC,3924,27.42,66.18,402.0,0.0,356.0,305.0,Air Pur
2025-10-06 08:06:38 UTC,254,29.5,59.1,405.0,0.0,359.0,313.0,Air Pur
2025-11-20 19:19:44 UTC,3184,35.44,30.0,399.0,0.0,366.0,307.0,Air Pur
2025-11-20 15:36:15 UTC,2558,36.0,30.0,407.0,0.0,383.0,314.0,Air Pur
2025-10-06 07:12:47 UTC,99,28.8,61.7,403.0,0.0,364.0,305.0,Air Pur
2025-11-20 13:27:30 UTC,2201,33.45,47.51,400.0,0.0,361.0,301.0,Air Pur
2025-11-20 18:00:46 UTC,2962,36.0,30.0,406.0,0.0,376.0,307.0,Air Pur
2025-11-21 02:48:02 UTC,4434,22.19,87.82,402.0,0.0,377.0,313.0,Air Pur
2025-11-20 22:52:37 UTC,3778,29.39,54.5,390.0,0.0,367.0,320.0,Air Pur
2025-11-20 17:28:11 UTC,2870,36.0,30.07,402.0,0.0,373.0,314.0,Air Pur
2025-11-20 19:37:46 UTC,3235,35.43,30.0,393.0,0.0,364.0,314.0,Air Pur
2025-11-20 22:57:31 UTC,3792,29.45,60.9,407.0,0.0,378.0,307.0,Air Pur
2025-10-09 08:37:30 UTC,957,30.6,69.5,403.0,0.0,378.0,306.0,Air Pur
2025-11-21 00:37:08 UTC,4068,25.69,69.36,412.0,0.0,382.0,328.0,Air Pur
2025-10-06 07:34:18 UTC,161,28.8,61.4,402.0,0.0,371.0,317.0,Air Pur
2025-11-21 03:09:40 UTC,4494,23.17,81.08,406.0,0.0,378.0,317.0,Air Pur
2025-11-19 03:55:13 UTC,1301,32.2,61.5,399.0,0.0,379.0,306.0,Air Pur
2025-11-21 00:08:40 UTC,3988,27.24,64.56,400.0,0.0,382.0,304.0,Air Pur
2025-11-20 09:27:00 UTC,1528,25.86,71.88,395.0,0.0,374.0,314.0,Air Pur
2025-10-25 05:49:29 UTC,1219,29.6,73.1,393.0,0.0,366.0,305.0,Air Pur
2025-11-21 03:10:48 UTC,4497,22.91,86.21,408.0,0.0,367.0,323.0,Air Pur
2025-11-20 18:51:36 UTC,3105,36.0,32.29,401.0,0.0,367.0,310.0,Air Pur
2025-11-20 16:40:02 UTC,2736,36.0,30.0,398.0,0.0,370.0,327.0,Air Pur
2025-11-21 03:31:35 UTC,4556,22.85,80.32,397.0,0.0,367.0,312.0,Air Pur
2025-10-09 08:36:53 UTC,955,30.6,69.5,409.0,0.0,358.0,315.0,Air Pur
2025-11-20 20:54:18 UTC,3447,33.13,41.73,393.0,0.0,373.0,309.0,Air Pur
2025-10-10 05:13:08 UTC,1046,31.5,68.4,382.0,0.0,372.0,314.0,Air Pur
2025-11-20 10:26:40 UTC,1694,28.07,60.97,395.0,0.0,364.0,304.0,Air Pur
2025-11-20 20:50:29 UTC,3437,33.47,43.12,406.0,0.0,376.0,307.0,Air Pur
2025-10-08 05:52:43 UTC,563,29.3,63.6,396.0,0.0,368.0,326.0,Air Pur
2025-11-20 15:10:29 UTC,2486,35.72,30.96,404.0,0.0,361.0,314.0,Air Pur
2025-11-20 20:21:07 UTC,3355,34.61,39.31,389.0,0.0,375.0,322.0,Air Pur
2025-10-06 07:56:56 UTC,226,29.1,61.1,413.0,0.0,375.0,308.0,Air Pur
2025-10-09 08:38:25 UTC,960,30.7,69.5,390.0,0.0,358.0,295.0,Air Pur
2025-11-21 03:29:06 UTC,4549,22.37,80.93,406.0,0.0,368.0,317.0,Air Pur
2025-11-20 18:38:19 UTC,3068,36.0,30.0,411.0,0.0,370.0,313.0,Air Pur
2025-10-09 07:55:11 UTC,816,31.1,68.6,396.0,0.0,366.0,316.0,Air Pur
2025-11-20 18:57:23 UTC,3121,35.49,30.0,399.0,0.0,366.0,312.0,Air Pur
2025-10-06 06:44:22 UTC,17,30.0,59.5,407.0,0.0,363.0,312.0,Air Pur
2025-10-25 05:58:00 UTC,1244,29.7,73.7,402.0,0.0,378.0,311.0,Air Pur
2025-11-20 13:29:14 UTC,2206,33.79,39.53,394.0,0.0,365.0,318.0,Air Pur
2025-11-20 15:24:19 UTC,2525,36.0,37.77,416.0,0.0,358.0,305.0,Air Pur
2025-10-10 05:57:07 UTC,1070,34.6,61.3,399.0,0.0,370.0,317.0,Air Pur
2025-11-20 20:53:28 UTC,3445,33.14,44.11,393.0,0.0,360.0,313.0,Air Pur
2025-11-20 15:39:09 UTC,2566,36.0,34.4,398.0,0.0,376.0,315.0,Air Pur
2025-10-10 05:19:22 UTC,1061,32.0,69.5,404.0,0.0,368.0,326.0,Air Pur
2025-11-20 14:13:34 UTC,2328,35.89,30.37,393.0,0.0,374.0,304.0,Air Pur
2025-11-20 20:44:49 UTC,3421,34.76,37.03,391.0,0.0,364.0,322.0,Air Pur
2025-10-06 08:23:17 UTC,302,29.3,58.8,402.0,0.0,364.0,314.0,Air Pur
2025-11-21 01:52:05 UTC,4277,23.84,75.86,400.0,0.0,365.0,304.0,Air Pur
2025-10-09 06:56:34 UTC,607,30.8,70.8,412.0,0.0,371.0,325.0,Air Pur
2025-11-20 19:14:58 UTC,3171,35.93,30.0,408.0,0.0,373.0,309.0,Air Pur
2025-10-09 07:22:55 UTC,700,30.5,71.8,391.0,0.0,367.0,305.0,Air Pur
2025-10-11 06:36:35 UTC,1140,32.2,66.1,405.0,0.0,382.0,310.0,Air Pur
2025-10-06 07:44:45 UTC,191,29.1,60.9,408.0,0.0,363.0,310.0,Air Pur
2025-11-20 14:04:06 UTC,2301,34.96,30.0,393.0,0.0,352.0,312.0,Air Pur
2025-10-09 08:46:12 UTC,981,31.6,68.3,401.0,0.0,378.0,317.0,Air Pur
2025-11-20 18:05:37 UTC,2976,36.0,31.29,406.0,0.0,361.0,315.0,Air Pur
2025-10-11 08:44:38 UTC,1185,32.9,65.9,413.0,0.0,372.0,323.0,Air Pur
2025-11-20 20:11:20 UTC,3328,35.11,34.88,416.0,0.0,367.0,308.0,Air Pur
2025-11-20 20:35:28 UTC,3395,34.09,35.52,394.0,0.0,357.0,309.0,Air Pur
